,index,neg,neu,pos,compound,review,sentiment_category
1850,1850,0.024,0.901,0.076,0.8708,Not    I have flow on BA several times since the airline started nonstop service between Austin TX and London Heathrow Every year the service gets worse I brought a tape measure with me to see how far apart the seats are in the economy section 25½ inches BA has removed bathrooms in order to squeeze a few more rows of seats onto the aircraft Thankfully Im not a big person and was able to squeeze into my seat without being too uncomfortable When BA first started flying out of Austin the food was great Now when I arrive at Heathrow I get real food and take it on the plane with me I dont know where or who makes BAs food but it is not eatable If BA did not have a direct flight from my hometown to London I would fly with a different airline When we checked into Heathrow the line was extremely long and only one person was checking people in It took nearly an hour to get to the counter I understand airlines are making record profits and need to make up lost revenue from the pandemic but I think BA has gone too far and has little concern for customer service in pursuit of profits,Extremely Positive
2207,2207,0.03,0.876,0.094,0.882,Not   This review is for LHRSYDLHR BA015 and BA016 Business class had a 121 configuration on 777 giving space privacy and easy aisle access Seat reclines into comfortable flat bed Good quality pillow and duvet Privacy with sliding door Good storage space around the seat and charging point Flights on time  no delays Gluten free meals were very poor in quality and presentation Warm processed meat between two bland slices of GF bread apparently is a business class breakfast On two sectors the main course no choice offered was bland fish which was served in a single small tray covered with foil  in business class Condensation had formed as the dish was reheated probably from chilled so the offering was sitting in a weak watery liquid One crew member appeared genuinely apologetic as they meekly served one meal Do BA also serve the same GF offering in economy economy plus and first on a long haul flight My advice if GF  take your own food or dine in the lounge if you are in the care of BA for 24 hours My travelling companion had very good regular meals or so they told me with a choice of main course on the same flights Crew gave the impression that they were doing a job covering the basics and rather than welcoming and engaging Usual hospitality industry waffle about service but little of substance delivered,Extremely Positive
1013,1013,0.061,0.813,0.126,0.9856, Check in was chaotic and badly organised Even though there were two desks one for premium and one economy there ended up being just one queue in front of the premium check in even though most passengers in it were economy That meant that those travelling in club or with higher status had no separate queue to join Whilst I was waiting in line another passenger went up to query and we ended up forming a new line in front of the economy check in desk for premium passengers unnecessarily badly organised the staff in charge should be retrained Security at the airport was very quick and through to the lounge This is a generic airport lounge for all airlines and it is actually quite good overall Nice layout and seating options reasonable food and drink options and an outdoor terrace which is really nice Boarding was very well organised although quite slow to get everyone on board but the flight was probably only half full and we still departed early so I think they felt no rush and it actually made the boarding experience nicer and more relaxed On board the club Europe seats are fine by European business standards although as previously commented are really not very good overall the meal service was disappointing As is normal BA do not stock enough of the proper meal option  when the options are so limited and varied in quality BA really should stock enough for everyone to have the good meal Sadly they had run out by the time they got to me so I had the option of vegetarian sausage or a salad I wanted a hot meal so went for the sausage and I can honestly say it was one of the most disgusting onboard meals I’ve ever had in any cabin class rolling some mush similar consistency to mashed potato into a sausage shape does not make it a sausage BA you need to improve the meal options make the vegetarian meal something you specifically have to request in advance and offer all passengers a choice of two decent meals  then people will not be left with such a substandard alternative when their first choice runs out Whilst I hadn’t planned on using it the on board WiFi was not functioning so was not available to use Overall though the flight was fairly comfortable and the cabin crew were very friendly and efficient I used avios to pay for the flight so it was obviously good value for money for me,Extremely Positive
3355,3355,0.05,0.784,0.165,0.9879,  I am a frequent flyer with BA and have been for the last 15 years Having noted the ratings given frankly I cannot understand how BA scores three stars for most aspects of its service In a nutshell BA has placed profit margins over passenger appreciation This fact was hammered home on my return leg which was not in Club Europe Quite alarmingly BA appears to place profit over passenger safety by extending its Business Class seating up to and beyond emergency exit rows and then failing to ensure those seated in exit rows have the physical capacity to actually open the door incase of an emergency I was not at all reassured to see an elderly and slightly built woman seated with the responsibility of opening the overwing exit should the need have arisen Shorthaul business Club Europe is simply a joke and only useful for gaining valuable tier points for loungepreboarding benefits While cabin crew service is excellent the lack of space and reduction in refreshment choices etc places them a million airmiles behind competing airlines such as Qatar Turkish or Emirates who understand the true definition of customer appreciation and hospitality BA has consistently eroded the value of their Executive Club and seems to be of the impression that recent changes in obtaining avios points during the booking process benefit passengers  really I want to support BA and did enjoy flying with them up to the point when they started penny pinching and became more deserving of the name Budget Airways The attached photos taking during my most recent itinerary highlight the difference in customer careappreciation between British Airways and another airline used in this trip Both flights were around 4 hours in duration on the same day Guess which one is shows BAs inflight offering,Extremely Positive
2204,2204,0.05,0.864,0.086,0.7708, For the price paid bought during a sale it was a decent experience although the club class business class seats offer no more legroom than economy class using shorthaul fleet on a 4 hour flight Fast track through security was not honoured The lounge at Istanbul airport was overcrowded as it is also open to the public who can pay for usage causing a long queue for entry  which was badly organised Boarding was smooth cabin crew were friendly but their service was hitandmiss Eg Some people got a “welcome” and some didn’t Half of the cabin was automatically offered coffee after dinner but not the other half However drinks were replenished generously and regularly and the meal was good with a choice of three mains from the menu,Extremely Positive
1010,1010,0.071,0.697,0.231,0.969,This was our first flight with British Airways in over 13 years and as usual I couldn’t fault them As we were connecting we had little interaction with ground staff  staff in the lounge were friendly and helpful Cabin crew on the flight were great  very welcoming and friendly Our meals were delicious  no shortage of drinks being offered The seats were economy seats with the middle row blocked off and some recline We arrived into Stockholm a little early through a snow shower which was a nice welcome back to Stockholm Bags checked in at JFK were delivered safely within 20 mins of arriving,Extremely Positive
1009,1009,0.064,0.845,0.091,0.8861,Not    Overall not bad Staff look tired and overworked trying their best Weird seats I was in 21G going and 21D going home The buttons to press for the seat recline are so stiff I had to get help on both flights to get them to work There is another button also very stiff to bring the “leg rest” out This is an awkward thing which doesn’t come up far enough to be of any use at all for your legs but just obstructs your feet really Again I had to get help to activate the very stiff buttons At one point the lady next to me was pressing the buttons for me while I tried to recline sit up or put the “leg rest” back We gave up and called the flight attendant who also had trouble BA please give this some maintenance Food only one out of three menu choices available by the time it got to me in Premium Ec It was pasta and was not too bad A Christmas Turkey Dinner was offered but why not load more if it is so popular that it is not available 10 minutes into the meal service “Breakfast” was an unidentified soggy pastry thing in a cardboard tube It was disgusting same offered on return journey A cold pastry and fruit would be so much nicer The tea and coffee was hot at least Overall I would say Air Canada provides a much superior Premium Ec service than BA I won’t choose BA again,Extremely Positive
1008,1008,0.069,0.803,0.128,0.9737,Absolutely pathetic business class product BA is not even remotely competitive with other International airlines in the business class market With old outdated 8 across seating  no I did not make a typing mistake  you either have to climb across someone or someone has to climb across you to gain aisle access The crew must also hate this layout since they have to reach through little window openings to provide service to passengers in the 2 center seats BA like most other Europeanbased airlines does not have a factual IntraEuropean business class product even though they promote  sell business class IntraEurope flights feature the same 33 seating throughout the aircraft  the only difference being the middle seat is left empty in business class  passengers get a meal  drinks but this does not justify the higher cost BAs TransAtlantic business class product is only slightly better because of the narrow 8 across seating The biggest surprise on both the LISLHR  LHRIAH flights was that BA has in fact substantially improved their food quality Shocking Unfortunately it is served in the WORST business class configurations of ANY International airline I have flown The entertainment  system  small screens  my laptop screen is twice the size  is like an airline offering 2 decades ago The flight crew was pleasant  perfunctory which is about the best one can expect from a BA crew BA will simply never match the quality of carriers like Singapore Emirates Qatar Etihad EVA ANA Japan Air New Zealand Qantas or many others BA can compete with USbased airlines like Delta American  United which are also not even in the same Universe in terms of a highquality business class product One of the biggest slaps in the face is that BA expects business class passengers to pay to select seats even though they have paid thousands of dollars to fly business class Several hundred US dollars for TransAtlantic flights Only if you wait until 24 hours before flight time are you allowed to select a seat at no cost Certainly another BA Management decision that was made without a functioning brain,Extremely Positive
1007,1007,0.03,0.876,0.094,0.882,Not   This review is for LHRSYDLHR BA015 and BA016 Business class had a 121 configuration on 777 giving space privacy and easy aisle access Seat reclines into comfortable flat bed Good quality pillow and duvet Privacy with sliding door Good storage space around the seat and charging point Flights on time  no delays Gluten free meals were very poor in quality and presentation Warm processed meat between two bland slices of GF bread apparently is a business class breakfast On two sectors the main course no choice offered was bland fish which was served in a single small tray covered with foil  in business class Condensation had formed as the dish was reheated probably from chilled so the offering was sitting in a weak watery liquid One crew member appeared genuinely apologetic as they meekly served one meal Do BA also serve the same GF offering in economy economy plus and first on a long haul flight My advice if GF  take your own food or dine in the lounge if you are in the care of BA for 24 hours My travelling companion had very good regular meals or so they told me with a choice of main course on the same flights Crew gave the impression that they were doing a job covering the basics and rather than welcoming and engaging Usual hospitality industry waffle about service but little of substance delivered,Extremely Positive
2208,2208,0.069,0.803,0.128,0.9737,Absolutely pathetic business class product BA is not even remotely competitive with other International airlines in the business class market With old outdated 8 across seating  no I did not make a typing mistake  you either have to climb across someone or someone has to climb across you to gain aisle access The crew must also hate this layout since they have to reach through little window openings to provide service to passengers in the 2 center seats BA like most other Europeanbased airlines does not have a factual IntraEuropean business class product even though they promote  sell business class IntraEurope flights feature the same 33 seating throughout the aircraft  the only difference being the middle seat is left empty in business class  passengers get a meal  drinks but this does not justify the higher cost BAs TransAtlantic business class product is only slightly better because of the narrow 8 across seating The biggest surprise on both the LISLHR  LHRIAH flights was that BA has in fact substantially improved their food quality Shocking Unfortunately it is served in the WORST business class configurations of ANY International airline I have flown The entertainment  system  small screens  my laptop screen is twice the size  is like an airline offering 2 decades ago The flight crew was pleasant  perfunctory which is about the best one can expect from a BA crew BA will simply never match the quality of carriers like Singapore Emirates Qatar Etihad EVA ANA Japan Air New Zealand Qantas or many others BA can compete with USbased airlines like Delta American  United which are also not even in the same Universe in terms of a highquality business class product One of the biggest slaps in the face is that BA expects business class passengers to pay to select seats even though they have paid thousands of dollars to fly business class Several hundred US dollars for TransAtlantic flights Only if you wait until 24 hours before flight time are you allowed to select a seat at no cost Certainly another BA Management decision that was made without a functioning brain,Extremely Positive
